,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / Internacional,Compare At Price / Internacional,Status
22,SCRB1,Scrub Slim Recto Mujer Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU23,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SCRB1,Scrub Slim Recto Mujer Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU24,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SCRB1,Scrub Slim Recto Mujer Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU25,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,SCRB1,Scrub Slim Recto Mujer Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU26,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SCRB1,Scrub Slim Recto Mujer Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU27,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SCRB1,Scrub Slim Recto Mujer Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU28,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SCRB1,Scrub Slim Recto Hombre Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU29,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SCRB1,Scrub Slim Recto Hombre Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU30,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SCRB1,Scrub Slim Recto Hombre Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU31,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,SCRB1,Scrub Slim Recto Hombre Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU32,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SCRB1,Scrub Slim Recto Hombre Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU33,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SCRB1,Scrub Slim Recto Hombre Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU34,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SCRB1,Scrub Slim Recto Hombre Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU35,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SCRB1,Scrub Slim Recto Mujer Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU36,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SCRB1,Scrub Slim Recto Mujer Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU37,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,SCRB1,Scrub Slim Recto Mujer Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU38,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,SCRB1,Scrub Slim Recto Mujer Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU39,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SCRB1,Scrub Slim Recto Mujer Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU40,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,SCRB1,Scrub Slim Recto Mujer Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU41,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SCRB1,Scrub Slim Recto Mujer Clasic Oxford XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Oxford, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU42,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SCRB1,Scrub Slim Recto Hombre Clasic Marino XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Marino, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU43,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,SCRB1,Scrub Slim Recto Hombre Clasic Marino XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Marino, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU44,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,SCRB1,Scrub Slim Recto Hombre Clasic Marino XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Marino, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU45,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SCRB1,Scrub Slim Recto Hombre Clasic Marino XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Marino, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU46,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SCRB1,Scrub Slim Recto Hombre Clasic Marino XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Marino, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU47,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SCRB1,Scrub Slim Recto Hombre Clasic Marino XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Marino, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU48,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
